Generis Capital Partners;Mazeberry;Saas
Generis Capital Partners;Tabmo;Advertising
Generis Capital Partners;Envie de Fraises;Fashion
GIMV;Teads;Advertising
GIMV;MarcoVasco;Travel
GIMV;Macke Vision;Entertainment
Naxicap;Adents;Saas
Naxicap;Streamdata.io;Data
Naxicap;Miliboo;Ecommerce
Nextstage;Coorpacademy;EdTech
Nextstage;1000mercis;Fintech
Nextstage;Wedia;Saas
Siparex (Proximit̩ Innovation);ConnecThings;Hardware
Time for Growth;Geolid;Advertising
Time for Growth;Usine.io;Hardware
Time for Growth;Oodrive;Saas
ACE Management;Sentryo;Security
ACE Management;RB3D;Hardware
ACE Management;3DTrust;Hardware
Innovacom;21Net;Travel
Innovacom;Astellia;Telco
Innovacom;Dimelo;Saas
Innovacom;Exagan;Hardware
Seventure;EasyVoyage;Travel
Seventure;SmartFocus;Cloud
Seventure;Parrot;Hardware
Seventure;VistaPrint;Ecommerce
Sofinnova;VistaPrint;Ecommerce
Sofinnova;Parrot;Hardware
Sofinnova;Movetis;Medtech
Xerys;Biolog-id;Medtech
Xerys;CryoPur;Medtech
Xerys;Connecthings;Hardware
3T Capital;360Learning;EdTech
3T Capital;Visibrain;Advertising
CapDecisif;Sequans Communications;Hardware
CapDecisif;AlephD;Advertising
CapDecisif;Kynogon;Entertainment
Cèdre Participations;Beepings;Hardware
Cèdre Participations;Moneytis;Fintech
Cèdre Participations;Sowefund;Fintech
Fa#;The Other Store;Ecommerce
Fa#;SoCloz;Saas
Fa#;Comiteo;Saas
Fa#;SAVgroup;Saas
Fred&Farid;Melty;Media
Fred&Farid;Artefact;Media
Fred&Farid;Babbler;Media
Iron Capital;Charme & Traditions;Travel
Iron Capital;Cheerz;Entertainment
Iron Capital;TheFamily;Incubator
Iron Capital;Youboox;EdTech
iSource;Sequans Communications;Hardware
iSource;Captain Dash;Saas
iSource;JeChange.fr;Comparator
iSource;Sirdata;Data
IT Translation;Accelad;Saas
IT Translation;Clubble;Saas
IT Translation;Elqui;Saas
IT Translation;Mediego;Advertising
Jaïna Capital;Devialet;Hardware
Jaïna Capital;Made.com;Ecommerce
Jaïna Capital;Melty;Media
Jaïna Capital;PopChef;Foodtech
Kerala Ventures;Doctolib;Medtech
Kerala Ventures;Hopwork;Platform
Kerala Ventures;Privateaser;Platform
Kerala Ventures;A.mob;Advertising
Kima;Afrimarket;Fintech
Kima;Front;Saas
Kima;Heetch;Platform
Kima;Payfit;Saas
Kima;Docker;Saas
Kima;Transferwise;Fintech
Kima;Captain Train;Travel
Kima;Aircall;Saas
Nestadio Capital;CodinGame;EdTech
Nestadio Capital;ITrust;Security
Nestadio Capital;Webshell;Security
Nestadio Capital;ZenPark;Platform
SIDE Capital;Juliedesk;AI
SIDE Capital;Regaind;AI
Starquest;Vodeclic;EdTech
Starquest;Probance;Data
Starquest;WagaEnergy;Energy
Starquest;SunPartner;Energy
